name,ingredients,instructions,prep_time,cook_time,servings,tags,vegetarian,vegan,gluten-free
Chicken Stir Fry,"chicken,broccoli,bell pepper,soy sauce,garlic,ginger,rice","1. Cook rice according to package. 2. Cut chicken into cubes. 3. Stir fry chicken in hot oil. 4. Add vegetables and cook 5 min. 5. Add soy sauce, garlic, ginger. 6. Serve over rice.",15,20,4,"asian,quick,high-protein",FALSE,FALSE,TRUE
Vegetarian Pasta Primavera,"pasta,tomatoes,zucchini,bell pepper,garlic,olive oil,basil,parmesan","1. Cook pasta al dente. 2. Sauté vegetables in olive oil. 3. Add garlic and cook 1 min. 4. Toss with pasta. 5. Top with basil and parmesan.",10,15,4,"italian,vegetarian,quick",TRUE,FALSE,FALSE
Grilled Salmon with Vegetables,"salmon,asparagus,lemon,olive oil,garlic,salt,pepper","1. Season salmon with salt, pepper, lemon. 2. Grill 6-8 min per side. 3. Toss asparagus with olive oil and garlic. 4. Grill vegetables 10 min. 5. Serve together.",10,20,2,"seafood,healthy,low-carb,high-protein",FALSE,FALSE,TRUE
Thai Green Curry,"chicken,coconut milk,green curry paste,bamboo shoots,bell pepper,basil,rice","1. Cook rice. 2. Sauté curry paste in pan. 3. Add coconut milk and bring to simmer. 4. Add chicken and vegetables. 5. Cook 15 min. 6. Serve over rice with basil.",15,25,4,"thai,spicy,comfort-food",FALSE,FALSE,TRUE
Quinoa Buddha Bowl,"quinoa,chickpeas,avocado,kale,sweet potato,tahini,lemon","1. Cook quinoa. 2. Roast sweet potato cubes at 400°F for 25 min. 3. Massage kale with lemon. 4. Assemble bowl with quinoa, chickpeas, sweet potato, kale, avocado. 5. Drizzle tahini dressing.",15,30,2,"vegan,healthy,bowl,high-fiber",TRUE,TRUE,TRUE
Beef Tacos,"beef,tortillas,lettuce,tomatoes,cheese,sour cream,onion,cilantro","1. Brown ground beef. 2. Season with taco seasoning. 3. Warm tortillas. 4. Assemble tacos with beef and toppings.",10,15,4,"mexican,quick,family-friendly",FALSE,FALSE,FALSE
Mushroom Risotto,"rice,mushrooms,onion,garlic,vegetable broth,white wine,parmesan,butter","1. Sauté onion and garlic. 2. Add rice and toast 2 min. 3. Add wine and stir until absorbed. 4. Gradually add broth, stirring constantly. 5. Add mushrooms halfway through. 6. Finish with butter and parmesan.",10,35,4,"italian,comfort-food,vegetarian",TRUE,FALSE,TRUE
Lentil Soup,"lentils,carrots,celery,onion,garlic,tomatoes,vegetable broth,cumin,turmeric","1. Sauté onion, carrots, celery. 2. Add garlic and spices. 3. Add lentils, tomatoes, broth. 4. Simmer 30 min until lentils tender. 5. Season to taste.",15,35,6,"soup,vegan,healthy,budget-friendly,high-fiber",TRUE,TRUE,TRUE
Greek Chicken Bowl,"chicken,rice,cucumber,tomatoes,feta,olives,tzatziki,lemon","1. Cook rice. 2. Grill seasoned chicken. 3. Dice vegetables. 4. Assemble bowl with rice, chicken, vegetables, feta, olives. 5. Top with tzatziki.",15,20,2,"greek,bowl,high-protein,mediterranean",FALSE,FALSE,TRUE
Veggie Burger,"black beans,quinoa,onion,garlic,cumin,bread crumbs,egg,lettuce,tomato,bun","1. Mash black beans. 2. Mix with cooked quinoa, onion, garlic, cumin, bread crumbs, egg. 3. Form patties. 4. Pan fry 5 min per side. 5. Serve on bun with toppings.",20,15,4,"vegetarian,burger,family-friendly",TRUE,FALSE,FALSE
